"count","comittee_name","?column?"
150,"Комитет ГД по экономической политике, промышленности, инновационному развитию и предпринимательству","7 созыв"
116,"Комитет ГД по делам Содружества Независимых Государств, евразийской интеграции и связям с соотечественниками","7 созыв"
522,Комитет ГД по государственному строительству и законодательству,"7 созыв"
84,Комитет ГД по земельным отношениям и строительству,"6 созыв"
75,Комитет ГД по транспорту и строительству,"7 созыв"
137,Комитет ГД по финансовому рынку,"6 созыв"
114,Комитет ГД по безопасности и противодействию коррупции,"6 созыв"
128,"Комитет ГД по природным ресурсам, собственности и земельным отношениям","7 созыв"
2,Комитет ГД по государственному строительству,"7 созыв"
98,Комитет ГД по международным делам,"7 созыв"
384,Комитет ГД по бюджету и налогам,"7 созыв"
17,Комитет ГД по аграрным вопросам,"6 созыв"
43,Комитет ГД по делам общественных объединений и религиозных организаций,"6 созыв"
46,"Комитет ГД по вопросам семьи, женщин и детей","6 созыв"
37,Комитет ГД по аграрным вопросам,"7 созыв"
17,Комитет ГД по науке и наукоемким технологиям,"6 созыв"
11,"Комитет ГД по экономической политике, промышленности, инновационному развитию и предпринимательству","6 созыв"
125,"Комитет ГД по экономической политике, инновационному развитию и предпринимательству","6 созыв"
22,Комитет ГД по культуре,"7 созыв"
54,Комитет ГД по обороне,"6 созыв"
157,Комитет ГД по финансовому рынку,"7 созыв"
25,Комитет ГД по культуре,"6 созыв"
1,Комитет ГД по образованию и науке,"6 созыв"
129,Комитет ГД по безопасности и противодействию коррупции,"7 созыв"
1,Комитет ГД по транспорту и строительству,"6 созыв"
40,"Комитет ГД по вопросам семьи, женщин и детей","7 созыв"
36,Комитет ГД по энергетике,"6 созыв"
221,"Комитет ГД по гражданскому, уголовному, арбитражному и процессуальному законодательству","6 созыв"
51,"Комитет ГД по информационной политике, информационным технологиям и связи","7 созыв"
39,Комитет ГД по жилищной политике и жилищно-коммунальному хозяйству,"7 созыв"
3,Комитет ГД по делам национальностей,"6 созыв"
37,Комитет ГД по жилищной политике и жилищно-коммунальному хозяйству,"6 созыв"
1,"Комитет ГД по развитию гражданского общества, вопросам общественных и религиозных объединений","6 созыв"
16,Комитет ГД по государственному строительству и законодательству,"6 созыв"
45,"Комитет ГД по развитию гражданского общества, вопросам общественных и религиозных объединений","7 созыв"
1,Комитет ГД по делам общественных объединений и религиозных организаций,"7 созыв"
4,Комитет ГД по делам национальностей,"7 созыв"
45,Комитет ГД по образованию и науке,"7 созыв"
28,Комитет ГД по образованию,"6 созыв"
21,"Комитет ГД по физической культуре, спорту и делам молодежи","6 созыв"
80,Комитет ГД по международным делам,"6 созыв"
19,Комитет ГД по промышленности,"6 созыв"
52,Комитет ГД по вопросам собственности,"6 созыв"
33,Комитет ГД по контролю и Регламенту,"7 созыв"
22,Комитет ГД по экологии и охране окружающей среды,"7 созыв"
43,"Комитет ГД по информационной политике, информационным технологиям и связи","6 созыв"
59,Комитет ГД по федеративному устройству и вопросам местного самоуправления,"6 созыв"
39,Комитет ГД по энергетике,"7 созыв"
43,Комитет ГД по делам Содружества Независимых Государств и связям с соотечественниками,"6 созыв"
451,Комитет ГД по конституционному законодательству и государственному строительству,"6 созыв"
49,"Комитет ГД по природным ресурсам, природопользованию и экологии","6 созыв"
4,Комитет ГД по региональной политике и проблемам Севера и Дальнего Востока,"7 созыв"
51,Комитет ГД по охране здоровья,"7 созыв"
62,Комитет ГД по транспорту,"6 созыв"
338,Комитет ГД по бюджету и налогам,"6 созыв"
56,Комитет ГД по федеративному устройству и вопросам местного самоуправления,"7 созыв"
7,Комитет ГД по региональной политике и проблемам Севера и Дальнего Востока,"6 созыв"
111,"Комитет ГД по труду, социальной политике и делам ветеранов","7 созыв"
1,Комитет ГД по Регламенту и организации работы Государственной Думы,"7 созыв"
29,"Комитет ГД по физической культуре, спорту, туризму и делам молодежи","7 созыв"
91,Комитет ГД по обороне,"7 созыв"
146,"Комитет ГД по труду, социальной политике и делам ветеранов","6 созыв"
63,Комитет ГД по охране здоровья,"6 созыв"
83,"Комитет ГД по делам Содружества Независимых Государств, евразийской интеграции и связям с соотечественниками","6 созыв"
